;data_inversa;uf;municipio;br;km;latitude;longitude;acidentes_2017;acidentes_2018;acidentes_2019;acidentes_2020;acidentes_2021;acidentes_2022;acidentes_2023;acidentes_2024
23878;2024-07-10;ES;SERRA;101;258,7;-20,135514;2024-07-10;0;0;0;0;0;0;0;2
23879;2024-07-10;SP;CAJATI;116;499;-24,78213697;2024-07-10;0;0;0;0;0;0;0;1
23880;2024-07-07;RS;PICADA CAFE;116;204,5;-29,4949404;2024-07-07;0;0;0;0;0;0;0;1
23881;2024-06-20;MG;TEOFILO OTONI;116;283;-17,91016695;2024-06-20;0;0;0;0;0;0;0;1
23882;2024-07-10;MG;SENADOR JOSE BENTO;459;72,1;-22,134133;2024-07-10;0;0;0;0;0;0;0;1
23883;2024-07-10;DF;BRASILIA;0;0;-15,871818;2024-07-10;0;0;0;0;0;0;0;2
23884;2024-07-10;MT;GUARANTA DO NORTE;163;1061;-9,98159927;2024-07-10;0;0;0;0;0;0;0;1
23885;2024-07-10;AL;SAO MIGUEL DOS CAMPOS;101;133,9;-9,77047189;2024-07-10;0;0;0;0;0;0;0;2
23886;2024-07-10;SC;SAO MIGUEL DO OESTE;163;67,7;-26,75258513;2024-07-10;0;0;0;0;0;0;0;2
23887;2024-03-27;MG;PARACATU;40;57;-17,29349791;2024-03-27;0;0;0;0;0;0;0;1
23888;2024-07-10;SP;SAO PAULO;381;75;-23,384332;2024-07-10;0;0;0;0;0;0;0;4
23889;2024-07-10;RS;GRAVATAI;290;63,9;-29,936922;2024-07-10;0;0;0;0;0;0;0;1
23890;2024-07-10;GO;ABADIANIA;60;70;-16,2462;2024-07-10;0;0;0;0;0;0;0;5
23891;2024-07-10;RS;BOA VISTA DAS MISSOES;158;86;-27,80099788;2024-07-10;0;0;0;0;0;0;0;3
23892;2024-07-10;MG;UBERLANDIA;365;647;-18,87453984;2024-07-10;0;0;0;0;0;0;0;3
23893;2024-07-10;MG;RIO CASCA;262;121;-20,21312389;2024-07-10;0;0;0;0;0;0;0;3
23894;2024-07-10;BA;VITORIA DA CONQUISTA;116;823,5;-14,8591624;2024-07-10;0;0;0;0;0;0;0;2
23895;2024-07-10;RS;PELOTAS;392;60,9;-31,79222715;2024-07-10;0;0;0;0;0;0;0;2
23896;2024-07-10;MG;FRONTEIRA;153;239,9;-20,258;2024-07-10;0;0;0;0;0;0;0;1
23897;2024-07-10;MG;CAMANDUCAIA;381;909,9;-22,724494;2024-07-10;0;0;0;0;0;0;0;4
23898;2024-07-10;MA;ACAILANDIA;10;327;-4,890294;2024-07-10;0;0;0;0;0;0;0;3
23899;2024-07-10;PR;CANDOI;277;395;-25,44527097;2024-07-10;0;0;0;0;0;0;0;5
23900;2024-05-10;ES;DOMINGOS MARTINS;262;42,5;-20,38524458;2024-05-10;0;0;0;0;0;0;0;2
23901;2024-07-10;MG;CATUJI;116;202;-17,25962992;2024-07-10;0;0;0;0;0;0;0;1
23902;2024-07-02;MG;BETIM;381;492,8;-19,9622836;2024-07-02;0;0;0;0;0;0;0;4
23903;2024-07-10;MT;CACERES;70;733;-16,14739062;2024-07-10;0;0;0;0;0;0;0;2
23904;2024-04-25;PR;CURITIBA;277;94;-25,4301345;2024-04-25;0;0;0;0;0;0;0;1
23905;2024-07-10;AL;PALMEIRA DOS INDIOS;316;159;-9,44034929;2024-07-10;0;0;0;0;0;0;0;1
23906;2024-07-10;PR;PARANAGUA;277;15,6;-25,5516182;2024-07-10;0;0;0;0;0;0;0;2
23907;2024-07-10;BA;VITORIA DA CONQUISTA;116;828,6;-14,900736;2024-07-10;0;0;0;0;0;0;0;1
23908;2024-07-10;RS;BOM JESUS;285;80,2;-28,645664;2024-07-10;0;0;0;0;0;0;0;1
23909;2024-04-26;BA;JEREMOABO;235;113;-10,00862194;2024-04-26;0;0;0;0;0;0;0;1
23910;2024-07-10;BA;VITORIA DA CONQUISTA;116;16,5;-14,90244624;2024-07-10;0;0;0;0;0;0;0;2
23911;2024-07-10;MT;CONQUISTA DOESTE;174;380;-14,53859898;2024-07-10;0;0;0;0;0;0;0;2
23912;2024-07-10;PE;CARUARU;104;42;-8,09849476;2024-07-10;0;0;0;0;0;0;0;3
23913;2024-07-10;RS;CACHOEIRA DO SUL;153;414;-30,07615029;2024-07-10;0;0;0;0;0;0;0;3
23914;2024-07-10;AC;BUJARI;364;163;-9,79568797;2024-07-10;0;0;0;0;0;0;0;1
23915;2024-07-10;ES;SERRA;101;262,2;-20,159391;2024-07-10;0;0;0;0;0;0;0;2
23916;2024-07-10;GO;LUZIANIA;40;9;-16,126723;2024-07-10;0;0;0;0;0;0;0;3
23917;2024-07-10;PE;RECIFE;101;67,2;-8,04481;2024-07-10;0;0;0;0;0;0;0;2
23918;2024-07-10;SC;CHAPECO;480;127,3;-27,03302676;2024-07-10;0;0;0;0;0;0;0;3
23919;2024-07-10;PR;MANDIRITUBA;116;153;-25,83870564;2024-07-10;0;0;0;0;0;0;0;6
23920;2024-07-10;PE;PETROLINA;428;189;-9,37793495;2024-07-10;0;0;0;0;0;0;0;4
23921;2024-07-10;MS;DOURADOS;163;250;-22,30589498;2024-07-10;0;0;0;0;0;0;0;1
23922;2024-07-10;RJ;ITAGUAI;101;400;-22,8483707;2024-07-10;0;0;0;0;0;0;0;2
23923;2024-07-10;MT;CUIABA;364;397;-15,666831;2024-07-10;0;0;0;0;0;0;0;4
23924;2024-07-10;MG;NOVA SERRANA;262;442;-19,87276396;2024-07-10;0;0;0;0;0;0;0;9
23925;2024-07-10;MA;BARRA DO CORDA;226;284;-5,45375178;2024-07-10;0;0;0;0;0;0;0;1
23926;2024-07-10;RO;PORTO VELHO;364;746;-9,0277321;2024-07-10;0;0;0;0;0;0;0;2
23927;2024-07-10;PA;ITAITUBA;230;1190,8;-4,37508132;2024-07-10;0;0;0;0;0;0;0;3
23928;2024-07-10;SP;GUARULHOS;116;219;-23,462361;2024-07-10;0;0;0;0;0;0;0;1
23929;2024-07-10;GO;ITUMBIARA;452;180;-18,3749007;2024-07-10;0;0;0;0;0;0;0;2
23930;2024-07-10;PE;PARANATAMA;423;112,1;-8,89529604;2024-07-10;0;0;0;0;0;0;0;1
23931;2024-07-11;MT;SANTO ANTONIO DO LEVERGER;364;382,5;-15,70298107;2024-07-11;0;0;0;0;0;0;0;1
23932;2024-07-11;DF;BRASILIA;40;6,9;-16,037828;2024-07-11;0;0;0;0;0;0;0;2
23933;2024-07-11;RJ;RIO BONITO;101;270;-22,72223833;2024-07-11;0;0;0;0;0;0;0;1
23934;2024-07-11;PA;SANTA IZABEL DO PARA;316;45;-1,277567;2024-07-11;0;0;0;0;0;0;0;1
23935;2024-07-10;PA;ITUPIRANGA;230;214;-4,85302585;2024-07-10;0;0;0;0;0;0;0;2
23936;2024-07-11;GO;ABADIANIA;414;427;-16,18147601;2024-07-11;0;0;0;0;0;0;0;3
23937;2024-07-11;DF;BRASILIA;40;3;-16,00224535;2024-07-11;0;0;0;0;0;0;0;5
23938;2024-07-11;PR;IRATI;277;250;-25,43345713;2024-07-11;0;0;0;0;0;0;0;2
23939;2024-07-11;BA;EUNAPOLIS;101;710,3;-16,48838681;2024-07-11;0;0;0;0;0;0;0;2
23940;2024-07-11;AM;PRESIDENTE FIGUEIREDO;174;982;-2,12045208;2024-07-11;0;0;0;0;0;0;0;1
23941;2024-07-10;AL;DELMIRO GOUVEIA;110;2;-9,3100322;2024-07-10;0;0;0;0;0;0;0;2
23942;2024-07-11;PR;LONDRINA;369;148;-23,29307487;2024-07-11;0;0;0;0;0;0;0;3
23943;2024-07-11;MG;GOVERNADOR VALADARES;116;406,8;-18,82669347;2024-07-11;0;0;0;0;0;0;0;2
23944;2024-07-11;RS;CANOAS;448;15;-29,92548153;2024-07-11;0;0;0;0;0;0;0;2
23945;2024-07-11;SC;TUBARAO;101;337,8;-28,50093644;2024-07-11;0;0;0;0;0;0;0;1
23946;2024-07-11;MT;SINOP;163;831;-11,89200267;2024-07-11;0;0;0;0;0;0;0;3
23947;2024-07-11;SE;AREIA BRANCA;235;33;-10,762641;2024-07-11;0;0;0;0;0;0;0;2
23948;2024-07-11;TO;PALMAS;10;481;-10,01765786;2024-07-11;0;0;0;0;0;0;0;1
23949;2024-07-11;RN;SAO GONCALO DO AMARANTE;101;80,6;-5,763348;2024-07-11;0;0;0;0;0;0;0;3
23950;2024-06-25;MA;BOM JESUS DAS SELVAS;222;600;-4,60806234;2024-06-25;0;0;0;0;0;0;0;3
23951;2024-06-30;MS;PONTA PORA;463;103,5;-22,61219637;2024-06-30;0;0;0;0;0;0;0;2
23952;2024-07-11;RS;SAO GABRIEL;290;436,7;-30,266333;2024-07-11;0;0;0;0;0;0;0;4
23953;2024-07-11;CE;IRAUCUBA;222;152,3;-3,73891788;2024-07-11;0;0;0;0;0;0;0;3
23954;2024-07-11;MG;TEOFILO OTONI;116;254;-17,6831353;2024-07-11;0;0;0;0;0;0;0;3
23955;2024-07-11;PR;SAO JOSE DOS PINHAIS;277;92;-25,5105;2024-07-11;0;0;0;0;0;0;0;1
23956;2024-07-11;PR;CURITIBA;376;603;-25,5452876;2024-07-11;0;0;0;0;0;0;0;4
23957;2024-07-11;MG;POUSO ALEGRE;459;100,4;-22,203369;2024-07-11;0;0;0;0;0;0;0;4
23958;2024-07-11;MG;UBERLANDIA;365;622;-18,90751667;2024-07-11;0;0;0;0;0;0;0;4
23959;2024-07-11;SC;APIUNA;470;98;-27,032537;2024-07-11;0;0;0;0;0;0;0;1
23960;2024-07-11;BA;EUNAPOLIS;101;716;-16,36296835;2024-07-11;0;0;0;0;0;0;0;2
23961;2024-07-11;MT;PONTES E LACERDA;174;292;-15,22721451;2024-07-11;0;0;0;0;0;0;0;2
23962;2024-07-11;MT;SINOP;163;837;-11,83740463;2024-07-11;0;0;0;0;0;0;0;1
23963;2024-07-01;PE;SANHARO;232;189;-8,35542691;2024-07-01;0;0;0;0;0;0;0;2
23964;2024-06-13;RN;NATAL;101;81;-5,76698319;2024-06-13;0;0;0;0;0;0;0;3
23965;2024-07-11;PA;MARABA;230;120;-5,36208829;2024-07-11;0;0;0;0;0;0;0;3
