;data_inversa;uf;municipio;br;km;latitude;longitude;acidentes
30865;2021-11-02;MT;PEDRA PRETA;364;155,4;-16.76718041;-54.25365024;1
30866;2021-09-15;MG;UBERLANDIA;365;68;-18.88470618;-48.26558948;2
30867;2021-11-02;RJ;SAO JOAO DA BARRA;356;160;-21.71992893;-41.17306805;3
30868;2021-10-24;MG;CARMOPOLIS DE MINAS;381;597;-20.595787;-44.706877;1
30869;2021-11-02;PI;ALTOS;343;293;-4.963321;-42.367683;4
30870;2021-11-02;ES;VIANA;262;17,2;-20.38724339;-40.47481298;2
30871;2021-11-02;PR;PATO BRANCO;158;531,3;-26.20228;-52.678215;2
30872;2021-11-02;MT;MATUPA;163;1041;-10.16126883;-54.9351964;2
30873;2021-11-02;SP;SAO JOSE DOS CAMPOS;116;133,8;-23.13702597;-45.75574626;2
30874;2021-11-02;PE;SALGUEIRO;116;46,2;-8.240053;-39.112076;5
30875;2021-11-02;PA;BELTERRA;163;952;-2.785105;-54.89994094;2
30876;2021-11-02;SC;LAGES;282;198;-27.754335;-50.113693;3
30877;2021-11-02;MG;GOVERNADOR VALADARES;381;153,9;-18.88190287;-41.99497022;2
30878;2021-11-01;RS;RIO GRANDE;392;1,6;-32.05051767;-52.0852831;1
30879;2021-11-02;BA;URUCUCA;101;458;-14.5094199;-39.33219556;1
30880;2021-11-02;SC;TUBARAO;101;334;-28.47079022;-49.01879132;4
30881;2021-11-02;MT;CLAUDIA;163;882;-11.4630575;-55.3592888;6
30882;2021-11-02;PR;PONTA GROSSA;376;521,7;-25.266263;-49.970314;2
30883;2021-11-02;GO;COCALZINHO DE GOIAS;414;361,4;-15.70879017;-48.69062184;3
30884;2021-11-02;RS;BENTO GONCALVES;470;200,9;-29.06736768;-51.57996108;3
30885;2021-11-02;PB;SAO MAMEDE;230;311;-6.9286;-37.0745;3
30886;2021-11-02;MS;DOURADOS;163;265,3;-22.22230022;-54.72847939;2
30887;2021-11-02;MT;CUIABA;364;393;-15.701122;-55.881774;3
30888;2021-11-02;MS;CAMPO GRANDE;163;420;-20.99104704;-54.50658928;1
30889;2021-11-02;PR;CONSELHEIRO MAIRINCK;153;70,1;-23.52448494;-50.11737319;8
30890;2021-11-02;PR;CAMBE;369;167,4;-23.296374;-51.31554008;1
30891;2021-11-02;GO;ESTRELA DO NORTE;153;123,7;-13.855654;-49.049168;1
30892;2021-11-02;MS;COXIM;163;721;-18.58449688;-54.76831023;1
30893;2021-11-02;DF;BRASILIA;60;23,8;-15.987903;-48.223103;1
30894;2021-11-02;RS;ITAARA;158;311;-29.61949566;-53.76785159;2
30895;2021-11-02;PR;RIO AZUL;153;364,1;-25.70656;-50.783707;4
30896;2021-11-02;RO;NOVA MAMORE;425;98;-10.41282684;-65.33130527;1
30897;2021-11-02;AC;RIO BRANCO;364;140;-9.94779814;-67.86813111;6
30898;2021-07-02;RN;CANGUARETAMA;101;160;-6.3498321;-35.1647138;2
30899;2021-11-03;MG;MONTE ALEGRE DE MINAS;153;49,5;-18.81309302;-49.08638495;1
